Reference, Value, Footprint, PartNo, MouserPartNumber
R1,100,Resistors_SMD:R_0402,CRCW0402100RFKEDHP,71-CRCW0402100RFKEDH
R3,100,Resistors_SMD:R_0402,CRCW0402100RFKEDHP,71-CRCW0402100RFKEDH
R5,100,Resistors_SMD:R_0402,CRCW0402100RFKEDHP,71-CRCW0402100RFKEDH
R2,10k,Resistors_SMD:R_0402,SG73P1ETTP1002F,660-SG73P1ETTP1002F
R4,10k,Resistors_SMD:R_0402,SG73P1ETTP1002F,660-SG73P1ETTP1002F
C4,10uF,Capacitors_SMD:C_0603,GRM188R61A106KE69D,81-GRM188R61A106KE9D
C1,1nF,Capacitors_SMD:C_0201,GRM033R71E102KA01D,81-GRM033R71E102KA1D
C2,1uF,Capacitors_SMD:C_0402,GRM155R61A105KE15D,81-GRM155R61A105KE15
C3,1uF,Capacitors_SMD:C_0402,GRM155R61A105KE15D,81-GRM155R61A105KE15
K1,CONN_3,active_electrode_connectors:DF50A-3P-1H,DF50A-3P-1H(51),798-DF50A-3P-1H(51)
U1,LMP7715,TO_SOT_Packages_SMD:SOT-23-5,LMP7715MF/NOPB,926-LMP7715MF/NOPB
U2,LMP7721,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,LMP7721MA/NOPB,926-LMP7721MA/NOPB
